111,71,161,124,1.000000
111,72,161,125,0.983368
111,72,161,125,0.988504
111,70,161,123,0.984916
111,70,161,123,0.936571
111,70,161,123,0.983283
111,69,161,122,0.985748
110,68,160,121,0.947725
110,67,160,120,0.963253
110,67,160,120,0.940889
111,66,161,119,0.974007
110,65,160,118,0.977973
109,67,159,120,0.963313
109,66,159,119,0.945706
109,65,159,118,0.945051
108,66,158,119,0.968424
112,68,162,121,0.935542
114,69,164,122,0.933430
117,71,167,124,0.915701
121,69,171,122,0.859787
126,71,176,124,0.819797
130,71,180,124,0.816588
142,68,186,115,0.696916
165,64,210,112,0.710789
189,63,235,112,0.703223
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
170,66,213,111,0.563383
157,66,201,112,0.571227
151,64,196,111,0.625580
149,61,194,108,0.618827
149,57,195,105,0.634794
149,57,194,104,0.665024
153,59,198,106,0.687412
161,63,206,110,0.692730
162,66,207,114,0.722141
129,69,171,113,0.500853
113,72,157,119,0.690427
106,72,150,119,0.765801
90,73,134,120,0.702542
84,73,128,119,0.652783
88,75,133,122,0.691244
97,78,142,125,0.644225
105,80,150,127,0.585125
109,78,154,125,0.563005
111,78,155,124,0.554020
116,75,160,121,0.523039
117,75,161,121,0.495528
119,74,163,120,0.538419
121,71,165,117,0.562564
123,69,167,115,0.567576
124,69,168,115,0.574059
126,73,170,119,0.564350
127,75,171,121,0.551622
125,75,168,120,0.550320
125,75,168,120,0.542126
124,71,167,116,0.549312
122,68,164,112,0.568236
117,65,158,108,0.571934
113,63,152,104,0.569542
113,61,151,101,0.556832
116,59,155,100,0.579203
123,56,168,103,0.528816
144,55,184,97,0.700721
169,49,213,96,0.671201
173,49,218,97,0.642567
174,52,220,101,0.653204
186,61,234,111,0.677529
197,74,244,123,0.748075
214,67,263,118,0.626540
231,58,280,109,0.571284
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
229,37,271,81,0.718332
220,39,262,83,0.729676
206,40,247,83,0.742299
193,41,233,83,0.695383
189,40,229,82,0.669798
189,38,229,80,0.663812
195,38,235,80,0.694151
198,37,238,79,0.680802
199,36,239,78,0.652157
201,36,241,78,0.607578
208,36,248,78,0.655517
221,35,262,78,0.592135
226,34,267,77,0.553174
228,31,269,74,0.528499
227,27,268,70,0.513484
226,26,267,69,0.492890
225,27,266,70,0.511759
222,26,263,69,0.522555
212,27,253,70,0.538745
204,26,245,69,0.527587
203,30,244,73,0.535650
201,27,242,70,0.524731
192,26,233,69,0.604817
181,27,222,70,0.519730
173,28,214,71,0.520703
161,33,202,76,0.517150
152,36,194,80,0.478388
129,46,170,89,0.463287
126,45,167,88,0.468054
125,42,167,86,0.486135
126,40,167,83,0.478100
129,40,169,82,0.413893
134,40,175,83,0.421112
141,40,182,83,0.436251
146,41,187,84,0.422114
150,40,191,83,0.446221
157,44,198,87,0.451094
160,48,201,91,0.450860
162,48,203,91,0.452834
164,50,204,92,0.445300
165,54,205,96,0.440291
168,61,207,102,0.428757
170,62,209,103,0.435161
171,64,210,105,0.425972
174,77,213,118,0.423145
174,92,212,132,0.437071
175,100,212,139,0.435370
176,102,214,142,0.426977
189,94,228,135,0.362831
198,73,241,118,0.427047
205,61,250,108,0.471609
214,61,258,107,0.496941
220,64,264,110,0.436041
224,63,268,109,0.400945
224,64,268,110,0.383636
223,72,267,118,0.354564
229,74,273,120,0.371042
233,70,277,116,0.469650
236,73,280,119,0.425907
238,82,282,128,0.404308
237,84,281,130,0.391075
224,99,268,145,0.393876
216,105,260,151,0.410515
208,114,251,159,0.433253
204,119,245,162,0.385579
202,120,243,163,0.353349
203,122,243,164,0.324105
206,115,246,157,0.332419
209,105,250,148,0.352914
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
275,67,313,107,0.430019
278,65,316,105,0.405543
282,64,321,105,0.422094
294,74,334,116,0.353338
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
220,85,260,128,0.425606
216,87,256,130,0.432115
211,90,251,134,0.421113
185,107,221,146
